sentence,label
"The most important thing is to try and inspire people so that they can be great in whatever they want to do.",inspire
"Leadership is not about a title or a designation. It's about impact, influence and inspiration. Impact involves getting results, influence is about spreading the passion you have for your work, and you have to inspire team-mates and customers.",inspire
"Choose to focus your time, energy, and conversation around people who inspire you, support you, and help you to grow you into your happiest, strongest, wisest self.",inspire
"A good teacher can inspire hope, ignite the imagination, and instill a love of learning.",inspire
"Love and fear. Everything the father of a family says must inspire one or the other.",inspire
"What we want most is someone who will inspire us to be what we know we can be.",inspire
"To succeed, you need to find something to hold on to, something to motivate you, something to inspire you.",inspire
"It only takes one person to mobilize a community and inspire change. It's in you, even if you don't feel it. You have to believe in yourself. People will see your vision and passion and follow you.",inspire
"As you go through the rest of your life, be open to collaboration. Other people and other people's ideas are often better than your own. Find a group of people who challenge and inspire you, spend a lot of time with them, and it will change your life.",inspire
"I am a walking piece of art every day, with my dreams and my ambitions pinned to my chest, trying to inspire my fans to live a similar way.",inspire
"Save all special thoughts and memories for lifetimes to come. Share these keepsakes with others to inspire hope and build from the past, which can bridge to the future.",inspire
"A word of encouragement from a teacher to a child can change a life. A word of encouragement from a spouse can save a marriage. A word of encouragement from a leader can inspire a person to reach her potential.",inspire
"Attitude and enthusiasm play a big part in my life. I get excited about the things that inspire me. I also believe in laughing and having a good time.",inspire
"People are not lazy. They simply have impotent goals - that is, goals that do not inspire them.",inspire
"I want to continue to inspire the young people of our country to pursue careers in science, technology, engineering, and math so they, too, may one day be out among the stars.",inspire
"Art has the power to transform, to illuminate, to educate, inspire and motivate.",inspire
"Moral people often take revenge for the restrictions they are subjected to by inspiring boredom.",inspire
"Surround yourself with people and things that inspire you. Learn everything you can.",inspire
"I just want to inspire my fans to be who they want to be, because that's what I'm doing.",inspire
"Leadership contains certain elements of good management, but it requires that you inspire, that you build durable trust. For an organization to be not just good but to win, leadership means inspiring participation and commitment deeper than written job descriptions and employment contracts.",inspire
"Your job is to inspire the people of your neighborhood to get out.",inspire
"My whole job is to inspire a better me and a better person in what we call rap, what we call hip hop.",inspire
"Care more about accepting responsibility than placing blame. Let the possibilities inspire you more than the obstacles discourage you.",inspire
"Of all religions, Christianity is without a doubt the one that should inspire tolerance most, although the Christians have so far been the most intolerant of all men.",inspire
"The most important thing we can do is inspire young minds and to advance the kind of science, math and technology education that will help youngsters take us to the next phase of space travel.",inspire
"I hope that I can inspire those who hear. People with normal hearing have the power to remove the barriers that prevent deaf people from achieving their dreams.",inspire
"If you want to inspire the masculine in other people, first you have to find it in yourself.",inspire
"I've never chased the dollar. I've always been concerned with what I could do to inspire and motivate people.",inspire
"Good actions give strength to ourselves and inspire good actions in others.",inspire
"It's amazing to be an inspiration for your kids. I want to inspire them to do whatever they want to do.",inspire
"Oratory is the masterful art. Poetry, painting, music, sculpture, architecture please, thrill, inspire - but oratory rules. The orator dominates his hearers, convinces their reason, controls their judgment, compels their action. For the time being, he is master.",inspire
"Find your voice and inspire others to find theirs.",inspire
"Don't be afraid to fly higher because it will inspire others.",inspire
"I'm at my best when I'm working with people who are truly talented, and I'm gentle in my suggestions, my guidance, or my inspiration or whatever I'm doing to contribute to their efforts.",inspire
"First, I would like to pay tribute to Diana myself. She was an exceptional and gifted human being. In good times and bad, she never lost her capacity to smile and laugh, nor to inspire others with her warmth and kindness. I admired and respected her - for her energy and commitment to others, and especially for her devotion to her two boys.",inspire
"Working together, we have the power to inspire, connect, and deliver new opportunities and rich experiences that will open doors to innovation and progress while growing the global economy and increasing well-being.",inspire
"The only times we've created any real change is when we've reached out to disaffected voters and inspired and motivated them to vote.",inspire
"I shall endeavour to find out more about this survey, which I am confident will be more than speculative, and will have sufficient time to inspire a pleasant hope of its being fundamentally beneficial to the human race.",inspire
"A lot of people think it takes a million dollars to give back or to inspire, but just your presence means a lot.",inspire
"A mentor is someone who is willing to help others, who has the capacity to inspire, a determination to work hard, a clear vision, a person of depth, integrity, and a joy for life.",inspire
"I'm a big fan of music in general. I listen to all types of music: hip-hop, R&B, whatever sounds good to me; it doesn't matter where it comes from to me - there's no boundaries, no fences. If I like it, then it's going to inspire me to create.",inspire
"I feel like I inspire more people than I think I do. I just have to remember that.",inspire
"Simply put, the arts nourish the soul. They sustain, comfort, inspire. There is nothing like that exquisite moment when you first discover the beauty of connecting with others in celebration of a shared ideal and wisdom.",inspire
"We the people. Manifest destiny. Conceived in liberty. Fear itself. Ask not. Morning in America. E pluribus unum. Yes we can. In times of great change and tumult, presidents have sought to inspire beleaguered Americans by reminding them of their national identity.",inspire
"The women who inspire me to be honest are the women who are struggling.",inspire
"I'm not the best wordsmith. I can't give you a melody. But I might be able to inspire somebody.",inspire
"One of the things that I did before I ran for president is I was a professional speaker. Not a motivational speaker - an inspirational speaker. Motivation comes from within. You have to be inspired. That's what I do. I inspire people, I inspire the masses, I inspire my employees. I inspire the organizations I take over to want to succeed.",inspire
"If you can't inspire a woman with love of you, fill her with love of herself; all that runs over will be yours.",inspire
"If I inspired you, pay it forward, and that's it.",inspire
"A bad investment means developing a special analytical interest in stocks that provoke a 'bad' first reaction. I am inclined to be interested in stocks that, because of their name or circumstances, are disinclined for further research, and that most investors would feel 'sick' and wrinkle their nose at to study further.",inspire
"An inspirational leader needs to have a winning mentality in order to win respect. It's very difficult to follow a leader who is umming and ahhing about their goals or who is only sporadically focused or enthusiastic.",inspire
"Let hope inspire you, but don't let idealism blind you. Don't look back, you can never look back.",inspire
"I want to inspire others to be confident in their own skin and to love themselves with or without makeup.",inspire
"The best lesson I've learned as I've gotten older is that I'm just enough, and I have a small group of comrades that inspire me, try not to judge me, and remind me of that when I judge myself.",inspire
"There are thousands of inspirational stories waiting to be told about young women who are yearning for an education. They are stories of struggle and stories of success, and they will inspire others to take action and work to change lives.",inspire
"I try to motivate and inspire people and let them know that they are not alone.",inspire
"You can't win the hearts and minds of the masses unless you inspire them - you must lift their spirits and enliven their souls.",inspire
"The right quote can inspire people to change their ways.",inspire
"But I'm lucky to work with great people. I have a great stylist here and in Paris. I have a great design team. I really allow everyone to bring their ideas. I almost rely on them to inspire me.",inspire
"Selfishness is one of the qualities apt to inspire love.",inspire
"I sincerely hope to be able to inspire others, to motivate people, and to be a good role model.",inspire
"Trust gives you the ability to give people direction, get everyone aligned, and give them the energy to go get the job done. Trust enables you to execute with excellence and produce extraordinary results. As you execute with excellence and deliver on your commitments, trust becomes easier to inspire, creating a flywheel of performance.",inspire
"I can inspire people on how to use money, how to get economically powerful.",inspire
"Every morning I get up and say, 'Father, give me strength today, not strength to lift 500 pounds, but Lord, give me strength, that when I speak, my words may motivate, may inspire somebody, Lord, when they see me, let them see you. When they hear me, Lord, let them hear you. In your holy name I pray.'",inspire
"My fitness isn't the best, but I want to prove to myself that I can do something that seems insurmountable and inspire others by showing them that no matter where they are in their fitness goals, they can do it, too.",inspire
"Timidity does not inspire bold acts.",inspire
"I'd be happy to inspire our country and continue the success of the U.S. Women's National Team.",inspire
"I tell myself that God gave my children many gifts - spirit, beauty, intelligence, the capacity to make friends and inspire respect. He just reserved one gift for himself - length of life.",inspire
"I've loved the Moon since I was a little boy. It's always there and continues to inspire mankind.",inspire
"You will not have results unless you have inspired people. Imposition will never give you the results. Inspiration will always give you the results.",inspire
"The time at our disposal each day is elastic; the passions we feel expand it, those that inspire us shrink it, and habit fills it.",inspire
"Music has the power to inspire the world.",inspire
"My goal is just to inspire. To tell people that have been through the same thing that I have, that there's someone that knows... that can relate.",inspire
"I am so excited to let fans know how important my relationship with my family is to me. I hope to motivate mothers and daughters to build memories together that will last a lifetime, and inspire kids around the world to live their dreams.",inspire
"Always make those above you feel comfortably superior. In your desire to please and impress them, do not go too far in displaying your talents or you might accomplish the opposite - inspire fear and insecurity.",inspire
"If you are a successful woman, it can inspire the next generation.",inspire
"If hearing that the CEO of Apple is gay can help someone struggling to come to terms with who he or she is, or bring comfort to anyone who feels alone, or inspire people to insist on their equality, then it's worth the trade-off with my own privacy.",inspire
"Never overlook the disabled, because we don't know how many people they can inspire.",inspire
"Swimming is a life-saving skill, so the fact that the sport I love can give so much back to others and inspire them to join in something they never thought they could do or to pursue their dreams is something that is really special to me.",inspire
"Creative thinking inspires ideas. Ideas inspire change.",inspire
"If our purpose in life is not just to be a cog in the human machine, then my purpose is to help inspire people, which is pretty cool. I would like to inspire the world.",inspire
"I know I may sound a little picky, but a person who's like a muse, who can inspire me, is my ideal type.",inspire
"You got haters from all walks of life. I don't care who wants me to fail. They inspire me.",inspire
"When I inspire myself, I want to spread that message because health is important. I don't think they teach us enough on that. I think we should eat better and work out. And look who's talking - a 300-pound guy - but I'm doing a lot better than I used to. I let people know that it's important 'cause it makes you feel better.",inspire
"If you want to feel happier, then start incorporating a few little bits of gratitude into your daily routine, whether that's on your commute, during your break, when you're eating your meal or before you go to bed - it all adds up and can be so valuable to your health and wellbeing. And you can use it to inspire others, too.",inspire
"About a year ago, I looked at all the people in my life and asked myself: does this person inspire me, genuinely love me and support me unconditionally? I wanted only positive influences in my life.",inspire
"Lucky Me is the story of every young black man that grew up like me. I want to use my story to inspire and make a difference in the lives of those who have been through the same struggles and educate those who haven't.",inspire
"Anytime I can get a smile from a girl or a boy, it's a good day, because I know I'm helping to inspire them to always dream big.",inspire
"Anyone can wear my dresses. They will look good on any figure, no matter what shape you are. I want to celebrate the female form and inspire women to feel confident and beautiful.",inspire
"I want to use my fame and this face that is known all over the world to help uplift and inspire people everywhere.",inspire
"For America to survive, it is imperative that we have a presence in space. It inspires the next generation. If we lose the leadership, then we'll be using Chinese capability to inspire Americans.",inspire
"Cancer has taught me a lot of things. Maybe it is the best thing that has happened to me. I can't say that right now, but maybe some years down the line, I would realise it. When I was taking chemotherapy, there were a lot of elderly patients, and that would inspire me. I thought, 'If they can be cured, why can't I?'",inspire
"The main thing is to hope to inspire honesty. We live in a space where there's so much that can be manipulated and there's so much that's expected to be manipulated - curated, designed, edited. I think that's done a real disservice to self-expression and happiness in a lot of ways. In my mind, honesty and vulnerability is the way forward.",inspire
"Managers tell people what to do, while leaders inspire them to do it, and the ability to inspire comes from a few factors.",inspire
"I have my flaws as much as the next person. But maybe I inspire women because I'm an example that you should never assume where you are in life or what you are doing is going to be forever.",inspire
"I want to inspire people and show people that no matter what happens, no matter how many times you get knocked down, you can get up. Just keep going, and stay positive.",inspire
"If I can inspire someone to get out of a dark place, that's great.",inspire
"I'm excited to continue to partner with U by Kotex for Generation Know while helping to empower girls. I've always been an inspiration for my sisters, and I hope I can positively influence and inspire other young girls as well.",inspire
"I think the impact I have made is to inspire Filipino girl athletes that they can do it too... Filipinos can be sports heroes.",inspire
"Teachers always try to inspire people to do better, to learn, to grow. That's what we do, and we're proud of our successes in that area, and we're certainly going to continue to do that.",inspire
"I think true prosperity... is an expansion of the ability to recognize, witness, and partake of the divine in others, and in the world, and to inspire our families to do the same. That is the most authentic prosperity.",inspire
"Good leaders organize and align people around what the team needs to do. Great leaders inspire and empower people around why they do it. That's the purpose. And that's the key to achieving true transformation.",inspire
"My colleagues and coworkers inspire me.",inspire
"A family is a place where principles are hammered and honed on the anvil of everyday living.",inspire
"I want to tell great stories that inspire you, that take you out of your reality, that make you dream of something bigger and better than yourself. Hopefully, I can be that pipeline.",inspire
"We will inevitably need digital technologies to re-imagine learning beyond schooling. If only to inspire people to do more things physically.",inspire
"I hope my architecture has the ability to inspire people to use their own resources, to move into the future.",inspire
"Inspiration is around you. Like, when I travel to any country, whether it's Paris or London, I'm walking down the street, and the architecture, the restaurants, it's all inspiration. Design inspiration can be found anywhere.",inspire
"I had a great drama teacher, Mrs. Perkins. She really tried to inspire me and get me going.",inspire
"There's a reason for all of these 'mistakes' in my books. I have an agenda: I'm secretly trying to inspire kids to create their own stories and comics, and I don't want them to feel stifled by 'perfectionism.'",inspire
"I direct with energy. I believe in energy. I think energy is an electric thing in actors. I try to inspire, encourage, and make choices with lots of energy. And truth. I'm very big on truth and being funny. I like leading 50 people into battle every day.",inspire
"I think you grow through your experiences; you get better as you grow, but I'm not even close to where I think I can be eventually, and hopefully opportunities will continue to come my way.",inspire
"It's so cool when you meet people who are different than you are. That can give you a different perspective, a viewpoint on life, or inspire you. I mean, what would the world be like if we were all the same? I think it would be so boring.",inspire
"I have a fatal illness called sickle cell anemia, which I was born with, and it affects millions of people - mainly in black and Latino cultures. I feel I can inspire other people with sickle cell disease to be strong and to believe in themselves.",inspire
"It usually starts with the director and any other creative people who might be involved. It's a collaboration. I bring what I have naturally and hopefully what they're looking for, and then we begin to play and tweak until we get what they feel is right. It helps to have some artwork to inspire me, but I don't always get that luxury.",inspire
"As a little girl growing up in Southside Jamaica, Queens, if anyone would've told me that I would have my own perfume one day, and be able to inspire young black girls everywhere, to go into Macy's or Nordstrom's and see their face staring back at them - I wouldn't have believed them.",inspire
"Is it possible that Hanukkah doesn't inspire folksy songs? Plot lines may be a part of it. The Christmas story has a lot of material to work with. There's Jesus and his birth, the wise men, their gifts and tons of frankincense.",inspire
"Our best teachers do more than impart facts and figures - they inspire and encourage students and instill a true desire to learn. That is a beautiful art in and of itself.",inspire
"I love gifts that inspire positivity and give back to the community.",inspire
"I've had such a crazy life journey, and in finding my own voice, I hope that I can also inspire others along the way.",inspire
"Every day is a surprise. There are confirmations of an interconnectedness and synchronicity that inspire, titillate and confirm the inherent comedy of the universe.",inspire
"I'm usually working on my own mythology, my own realm of created characters. Mythological stories inspire me, though I may not be aware of it.",inspire
"I've never considered being a cop. I could be a teacher, a minister, a social worker, or a professor. As long as I don't have to see blood and see people die every day, if I can inspire or help in their lives, that's something I'd want to do.",inspire
"We need affordable space travel to inspire our youth, to let them know that they can achieve their dreams and they can set vast goals and be able to lead all of us in the future of space travel, exploration and discovery. Thanks for the inspiration, X Prize.",inspire
"Most of our music is about how we are perceiving the world and how we are trying to stick together as normal people. So our fans inspire us and give us a direction to go in as musicians. Of course, their love and support keeps us going.",inspire
"I studied organizational communication and politics in college because I was fascinated by influence. I wanted to know how people came to have influence, and not because I wanted to inspire the world - not yet.",inspire
"Fame brings opportunity, but it also includes responsibility - to advocate and share, to focus less on glass slippers and more on shattering glass ceilings. And, if I'm lucky, to inspire.",inspire
"Bringing Roblox to Xbox is a huge leap in our mission to unite and inspire the next generation of creators, dreamers, and explorers.",inspire
"Passover is the oldest continuously observed religious ritual in the world. For centuries, the Seder has never lost its power to enthrall the imagination of generations of Jews with the drama of slavery and liberation.",inspire
"The old, subjective, stagnant, indolent, tragic life of a woman has gone. She has as many resources as man, as many activities beckon her. And as the possibilities are tremendous, they are swelling and inspiring her heart.",inspire
"Music can inspire an instantaneous emotional response, even if the only person hearing it is the one creating it.",inspire
"I try to use magic to tell stories that are educational, that are touching, that are inspiring, that help people realize their dreams.",inspire
"I love to surf, rock climb, bike - all of that. But it's the running that is surprising. I can inspire people through running. It's humbling, really.",inspire
"I came to realize that the impression I had of myself, that I was some kind of god on Mount Olympus, was not a true one. So I decided that if I were going to use my role as a Supreme Court Justice, it would be to inspire people to realize that, first of all, I was just like them and second, if I could do it, so could they.",inspire
"I want to inspire people to be okay with themselves and be who they are, no matter what.",inspire
"A teacher has the opportunity to shape a person, to inspire them. I hope all teachers realize that.",inspire
"I've always wanted to work with family-run businesses because their stories inspire me. One of my greatest hopes is that families will invest in me, educate me about their business, and pass on many other invaluable lessons. The process of helping an owner transition their business to someone they trust excites me.",inspire
"If I can inspire someone to take a positive path and pursue a dream, that's great.",inspire
"We are all affected by music. It has the power to inspire, to elevate us, to change our moods, and even to change our consciousness.",inspire
"It's important to run with integrity so that you can inspire people. It's important to be a role model for the young generation.",inspire
"I hope my story can help inspire those who are at a decisive crossroads in their lives.",inspire
"Never underestimate the power of intrinsic values. They inspire every struggle for a better world.",inspire
"But the question we should be asking ourselves is, who is the next visionary leader of America? How do we have the aspiration and inspire Americans to reach their highest level? We need a president who does that.",inspire
"The most intimidating world leader was Lyndon Johnson, who became U.S. President when John Kennedy was assassinated. He exulted in this power and enjoyed inspiring fear.",inspire
"Before the accident I was a little too... selfish and self-absorbed and for me, now I can be selfless and self-absorbed and also be able to give back and inspire people. I'm very blessed. I'm very lucky.",inspire
"On the one hand, you practice mindfulness to be calm and peaceful. On the other hand, as you practice mindfulness and live a life of peace, you inspire hope for a future of peace.",inspire
"Now, I'm a failed political consultant. But sometimes fiction is able to grab ahold of people's imaginations in a way that non-fiction is not. And for many years, conservatives have not generally written much fiction - specifically political thrillers - to educate, inspire, and mobilize people on some of the major issues of our day, but we should.",inspire
"You will find that the woman who is really kind to dogs is always one who has failed to inspire sympathy in men.",inspire
