sentence,label
"Pleasure in the job puts perfection in the work.",pleasure
"To deceive a deceiver is a double pleasure.",pleasure
"There is a pleasure in the pathless woods, There is a rapture on the lonely shore, There is society, where none intrudes, By the deep sea, and music in its roar: I love not man the less, but Nature more.",pleasure
"I am pleased to support a candidate who truly reflects our values and highest ideals.",pleasure
"We cannot be more sensitive to pleasure without being more sensitive to pain.",pleasure
"A woman's sexual pleasure is a magic spell; it demands complete abandon; if words or movements oppose the magic of caresses, the spell is broken.",pleasure
"The greatest pleasure in life is doing what people say you cannot do.",pleasure
"I have never killed a man, but I have read many obituaries with a lot of pleasure.",pleasure
"All that I do is for the pleasure of Allah.",pleasure
"You know the only thing that gives me pleasure? It's to see my dividends coming in.",pleasure
"There is no pleasure in having nothing to do; the fun is in having lots to do and not doing it.",pleasure
"Happiness, true happiness, is an inner quality. It is a state of mind. If your mind is at peace, you are happy. If your mind is at peace, but you have nothing else, you can be happy. If you have everything the world can give - pleasure, possessions, power - but lack peace of mind, you can never be happy.",pleasure
"It is more pleasure to love than to be beloved.",pleasure
"My relationship with my body has changed. I used to consider it a servant that should obey, function, give pleasure. In sickness, you realize you are not the boss. It is the other way around.",pleasure
"Eating is not merely a material pleasure. Eating well gives a spectacular joy to life and contributes immensely to goodwill and happy companionship. It is of great importance to the morale.",pleasure
"Many a man thinks he is buying pleasure, when he is really selling himself to it.",pleasure
"The greatest pleasure of life is love.",pleasure
"I believe that every human mind feels pleasure in doing good to another.",pleasure
"Happiness is neither virtue nor pleasure nor this thing nor that, but simply growth, and we are happy when we are growing.",pleasure
"Pleasure is a shadow, wealth is vanity, and power a pageant; but knowledge is ecstatic in enjoyment, perennial in frame, unlimited in space and indefinite in duration.",pleasure
"There is a pleasure in being mad which none but madmen know.",pleasure
"Most people have found that the meaning of their lives is in the responsibilities they have found, that it is not in happiness. It's not in the momentary pleasure.",pleasure
"Serious sport has nothing to do with fair play. It is bound up with hatred, jealousy, boastfulness, disregard of all rules and sadistic pleasure in witnessing violence. In other words, it is war minus the shooting.",pleasure
"The noblest pleasure is the joy of understanding.",pleasure
"Most men pursue pleasure with such breathless haste that they hurry past it.",pleasure
"Fashion is very important. It is life-enhancing and, like everything that gives pleasure, it is worth doing well.",pleasure
"Sex: the pleasure is momentary, the position ridiculous, and the expense damnable.",pleasure
"I wish I could get away from my thoughts, but I am thinking of them and it is giving me a sort of pleasure.",pleasure
"A woman is an occasional pleasure but a cigar is always a smoke.",pleasure
"Life is essentially a cheat and its conditions are those of defeat; the redeeming things are not happiness and pleasure but the deeper satisfactions that come out of struggle.",pleasure
"I hope that posterity will judge me kindly, not only as to the things which I have explained, but also to those which I have intentionally omitted so as to leave to others the pleasure of discovery.",pleasure
"Free will is an illusion. People always choose the path that they perceive is the path of greatest pleasure.",pleasure
